Word,Count
*****************************************,76
*,51
->,37
Model,37
View,37
bar,5
the,5
***************************************,5
**************************************,5
if,4
orderedDishes,4
user,3
to,3
dishesType,3
with,3
relevant,3
Get,3
given,3
are,3
check,3
dishes,3
for,3
execute,2
on,2
,2
\test,\,2
documentation](http://d.android.com/tools/testing),2
which,2
See,2
will,2
[testing,2
Dish,1
Order,1
of,1
machine,1
already,1
create,1
Example,1
undone,1
development,1
(host),1
local,1
exist,1
Intents,1
(active),1
green,1
device,1
new,1
format,1
Can,1
OrderedDish,1
Company,1
not,1
Android,1
All,1
an,1
unit,1
test,1
tableNumber,1
Setup,1
only,1
app,1
does,1
Instrumented,1
User,1
order,1
Context,1
\"\yyyy-MM-dd"\\,1
under,1
